Positive feedback[Time]	x[Concentration]	y[Concentration]
0	0.4	0.5
1	0.430818	0.452995
2	0.41673	0.434567
3	0.392094	0.414663
4	0.358368	0.388517
5	0.313072	0.353472
6	0.253932	0.306913
7	0.182749	0.247667
8	0.11074	0.179707
9	0.0552289	0.114475
10	0.0235168	0.0642197
11	0.00914632	0.0325656
12	0.00342358	0.0153803
13	0.00126529	0.00692114
14	0.000465984	0.00301193
15	0.000171467	0.00127948
16	6.3082e-05	0.000533775
17	2.32068e-05	0.000219572
18	8.5373e-06	8.93131e-05
19	3.1407e-06	3.59971e-05
20	1.1554e-06	1.4398e-05
