Time	[A]	[B]	[C]
0	1e-006	1e-005	0
0.001	1.18573e-006	9.67041e-006	1.43854e-007
0.002	1.36326e-006	9.36072e-006	2.7602e-007
0.003	1.53305e-006	9.06961e-006	3.97347e-007
0.004	1.69552e-006	8.79585e-006	5.08627e-007
0.005	1.8511e-006	8.5383e-006	6.10596e-007
0.006	2.00016e-006	8.29591e-006	7.03937e-007
0.007	2.14305e-006	8.06767e-006	7.89284e-007
0.008	2.28011e-006	7.85266e-006	8.67228e-007
0.009	2.41166e-006	7.65003e-006	9.38319e-007
0.01	2.53797e-006	7.45896e-006	1.00306e-006
0.011	2.65934e-006	7.27872e-006	1.06193e-006
0.012	2.77602e-006	7.10861e-006	1.11537e-006
0.013	2.88824e-006	6.94798e-006	1.16378e-006
0.014	2.99624e-006	6.7962e-006	1.20755e-006
0.015	3.10024e-006	6.65274e-006	1.24703e-006
0.016	3.20041e-006	6.51705e-006	1.28254e-006
0.017	3.29697e-006	6.38865e-006	1.31438e-006
0.018	3.39008e-006	6.26707e-006	1.34285e-006
0.019	3.4799e-006	6.1519e-006	1.36819e-006
0.02	3.56661e-006	6.04273e-006	1.39066e-006
0.021	3.65033e-006	5.93919e-006	1.41048e-006
0.022	3.73121e-006	5.84093e-006	1.42786e-006
0.023	3.80938e-006	5.74763e-006	1.44299e-006
0.024	3.88497e-006	5.65899e-006	1.45605e-006
0.025	3.95808e-006	5.57471e-006	1.4672e-006
0.026	4.02883e-006	5.49455e-006	1.47662e-006
0.027	4.09732e-006	5.41826e-006	1.48442e-006
0.028	4.16365e-006	5.34559e-006	1.49076e-006
0.029	4.2279e-006	5.27634e-006	1.49576e-006
0.03	4.29017e-006	5.21032e-006	1.49951e-006
0.031	4.35054e-006	5.14732e-006	1.50215e-006
0.032	4.40908e-006	5.08717e-006	1.50375e-006
0.033	4.46587e-006	5.02972e-006	1.50442e-006
0.034	4.52097e-006	4.9748e-006	1.50423e-006
0.035	4.57446e-006	4.92228e-006	1.50326e-006
0.036	4.62639e-006	4.87201e-006	1.50159e-006
0.037	4.67683e-006	4.82388e-006	1.49928e-006
0.038	4.72583e-006	4.77777e-006	1.4964e-006
0.039	4.77344e-006	4.73356e-006	1.493e-006
0.04	4.81972e-006	4.69116e-006	1.48912e-006
0.041	4.86471e-006	4.65046e-006	1.48483e-006
0.042	4.90846e-006	4.61137e-006	1.48017e-006
0.043	4.95101e-006	4.57382e-006	1.47517e-006
0.044	4.9924e-006	4.53772e-006	1.46988e-006
0.045	5.03268e-006	4.50299e-006	1.46433e-006
0.046	5.07188e-006	4.46957e-006	1.45855e-006
0.047	5.11004e-006	4.43739e-006	1.45257e-006
0.048	5.14719e-006	4.40639e-006	1.44642e-006
0.049	5.18336e-006	4.37651e-006	1.44013e-006
0.05	5.21859e-006	4.3477e-006	1.43371e-006
0.051	5.25291e-006	4.3199e-006	1.42719e-006
0.052	5.28634e-006	4.29307e-006	1.42059e-006
0.053	5.31891e-006	4.26716e-006	1.41393e-006
0.054	5.35066e-006	4.24212e-006	1.40722e-006
0.055	5.38159e-006	4.21793e-006	1.40048e-006
0.056	5.41175e-006	4.19454e-006	1.39371e-006
0.057	5.44115e-006	4.17191e-006	1.38695e-006
0.058	5.46981e-006	4.15001e-006	1.38018e-006
0.059	5.49776e-006	4.12881e-006	1.37343e-006
0.06	5.52501e-006	4.10828e-006	1.36671e-006
0.061	5.5516e-006	4.08839e-006	1.36001e-006
0.062	5.57752e-006	4.06912e-006	1.35336e-006
0.063	5.60282e-006	4.05043e-006	1.34675e-006
0.064	5.62749e-006	4.03231e-006	1.3402e-006
0.065	5.65156e-006	4.01473e-006	1.3337e-006
0.066	5.67505e-006	3.99767e-006	1.32727e-006
0.067	5.69798e-006	3.98112e-006	1.32091e-006
0.068	5.72034e-006	3.96504e-006	1.31462e-006
0.069	5.74218e-006	3.94943e-006	1.3084e-006
0.07	5.76348e-006	3.93426e-006	1.30226e-006
0.071	5.78428e-006	3.91952e-006	1.2962e-006
0.072	5.80458e-006	3.90519e-006	1.29023e-006
0.073	5.8244e-006	3.89126e-006	1.28433e-006
0.074	5.84375e-006	3.87772e-006	1.27853e-006
0.075	5.86264e-006	3.86455e-006	1.27281e-006
0.076	5.88108e-006	3.85173e-006	1.26719e-006
0.077	5.89909e-006	3.83926e-006	1.26165e-006
0.078	5.91667e-006	3.82713e-006	1.2562e-006
0.079	5.93385e-006	3.81531e-006	1.25084e-006
0.08	5.95061e-006	3.80381e-006	1.24557e-006
0.081	5.96699e-006	3.79261e-006	1.2404e-006
0.082	5.98298e-006	3.78171e-006	1.23531e-006
0.083	5.9986e-006	3.77108e-006	1.23032e-006
0.084	6.01386e-006	3.76073e-006	1.22541e-006
0.085	6.02876e-006	3.75065e-006	1.2206e-006
0.086	6.04331e-006	3.74082e-006	1.21587e-006
0.087	6.05753e-006	3.73124e-006	1.21124e-006
0.088	6.07141e-006	3.7219e-006	1.20669e-006
0.089	6.08498e-006	3.7128e-006	1.20222e-006
0.09	6.09823e-006	3.70393e-006	1.19785e-006
0.091	6.11117e-006	3.69527e-006	1.19356e-006
0.092	6.12382e-006	3.68683e-006	1.18935e-006
0.093	6.13617e-006	3.6786e-006	1.18523e-006
